timestamp_iso,raw,voltage
2025-12-20T15:37:45.139698,12539,1.57
2025-12-20T15:37:45.164281,13084,1.64
2025-12-20T15:37:45.192630,14246,1.78
2025-12-20T15:37:45.220436,12633,1.58
2025-12-20T15:37:45.247502,13533,1.69
2025-12-20T15:37:45.276670,14048,1.76
2025-12-20T15:37:45.301659,12019,1.5
2025-12-20T15:37:45.326862,13983,1.75
2025-12-20T15:37:45.354743,13803,1.73
2025-12-20T15:37:45.383644,12664,1.58
2025-12-20T15:37:45.407894,14293,1.79
2025-12-20T15:37:45.437928,13151,1.64
2025-12-20T15:37:45.464101,12818,1.6
2025-12-20T15:37:45.489818,14709,1.84
2025-12-20T15:37:45.517159,13035,1.63
2025-12-20T15:37:45.547181,12984,1.62
2025-12-20T15:37:45.570254,14574,1.82
2025-12-20T15:37:45.598386,12183,1.52
2025-12-20T15:37:45.627221,12921,1.62
2025-12-20T15:37:45.651466,14441,1.81
2025-12-20T15:37:45.679806,12128,1.52
2025-12-20T15:37:45.707749,13463,1.68
2025-12-20T15:37:45.732651,15110,1.89
2025-12-20T15:37:45.760815,13104,1.64
2025-12-20T15:37:45.789257,14749,1.84
2025-12-20T15:37:45.813938,14961,1.87
2025-12-20T15:37:45.842604,14368,1.8
2025-12-20T15:37:45.870098,14147,1.77
2025-12-20T15:37:45.898436,13953,1.74
2025-12-20T15:37:45.923172,13734,1.72
2025-12-20T15:37:45.951257,13644,1.71
2025-12-20T15:37:45.977619,13557,1.69
2025-12-20T15:37:46.004379,13472,1.68
2025-12-20T15:37:46.032679,13437,1.68
2025-12-20T15:37:46.057515,13401,1.68
2025-12-20T15:37:46.087180,13356,1.67
2025-12-20T15:37:46.113688,13353,1.67
2025-12-20T15:37:46.139586,13330,1.67
2025-12-20T15:37:46.166801,13312,1.66
2025-12-20T15:37:46.199104,13316,1.66
2025-12-20T15:37:46.219877,13297,1.66
2025-12-20T15:37:46.248238,13296,1.66
2025-12-20T15:37:46.277021,13301,1.66
2025-12-20T15:37:46.301084,13276,1.66
2025-12-20T15:37:46.329556,13284,1.66
2025-12-20T15:37:46.357304,13290,1.66
2025-12-20T15:37:46.383128,13264,1.66
2025-12-20T15:37:46.410374,13276,1.66
2025-12-20T15:37:46.439237,13280,1.66
2025-12-20T15:37:46.463489,13252,1.66
2025-12-20T15:37:46.491685,13272,1.66
2025-12-20T15:37:46.519714,13274,1.66
2025-12-20T15:37:46.548961,13248,1.66
2025-12-20T15:37:46.572785,13269,1.66
2025-12-20T15:37:46.600876,13259,1.66
2025-12-20T15:37:46.627078,13242,1.66
2025-12-20T15:37:46.653979,13270,1.66
